route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,brigade
PKS,1,"1_2486647^Y+","Żabinko/",1,416574,0,115
PKS,1,"1_2486650^Y+","Żabinko/",1,416574,0,115
PKS,1,"1_2486652^Y+","Żabinko/",1,416574,0,115
PKS,1,"1_2486655^Y+","Żabinko/",1,416574,0,116
PKS,1,"1_2486667^Y+","Żabinko/",1,416574,0,245
PKS,1,"1_2486669^Y+","Żabinko/",1,416574,0,312
PKS,1,"1_2486671^Y+","Żabinko/",1,416574,0,349
PKS,1,"1_2486646^Y+","Poznań Główny",0,416575,0,115
PKS,1,"1_2486651^Y+","Poznań Główny",0,416575,0,115
PKS,1,"1_2486653^Y+","Poznań Główny",0,416575,0,115
PKS,1,"1_2486654^Y+","Poznań Główny",0,416575,0,116
PKS,1,"1_2486660^Y+","Poznań Główny",0,416575,0,207
PKS,1,"1_2486668^Y+","Poznań Główny",0,416575,0,312
PKS,1,"1_2486670^Y+","Poznań Główny",0,416575,0,349
PKS,1,"1_2486649^Y","Żabinko/",1,416587,0,115
PKS,1,"1_2486666^Y","Żabinko/",1,416587,0,230
PKS,1,"1_2486675^Y","Żabinko/",1,416587,0,918
PKS,1,"1_2486677^Y","Żabinko/",1,416587,0,918
PKS,1,"1_2486658^A,Y","Radzewice/II",1,416588,0,158
PKS,1,"1_2486659^A,Y","Radzewice/II",1,416588,0,158
PKS,1,"1_2486662^A,Y","Radzewice/II",1,416589,0,218
PKS,1,"1_2486664^A,Y","Radzewice/II",1,416589,0,219
PKS,1,"1_2486648^A,Y","Mosina/Dworzec Kolejowy",0,416590,0,115
PKS,1,"1_2486665^A,Y","Mosina/Dworzec Kolejowy",0,416590,0,230
PKS,1,"1_2486674^A,Y","Mosina/Dworzec Kolejowy",0,416590,0,918
PKS,1,"1_2486676^A,Y","Mosina/Dworzec Kolejowy",0,416590,0,918
PKS,1,"1_2486656^Y","Poznań Główny",0,416591,0,158
PKS,1,"1_2486657^Y","Poznań Główny",0,416591,0,158
PKS,1,"1_2486661^Y","Poznań Główny",0,416592,0,218
PKS,1,"1_2486663^Y","Poznań Główny",0,416592,0,219
